Location_id,Item_id,POI_Type,User_id,Latitude,Longitude,Time,Date,POI,Category,name,stars,L2_Category_name,clusters,L1_Category_name,L1_Category
0,0,0,0,35.225884,-80.852895,23:07:45,2013404,Independent,Football Stadium,Bank of America Stadium,4,0,0,0,Arts & Entertainment
1,1,0,0,35.241024,-80.814505,23:59:28,2013404,Independent,Brewery,Birdsong Brewing,4.5,1,1,1,Nightlife Spot
2,2,1,0,35.23223,-80.848625,7:25:46,2013605,Combined,Greek Restaurant,Little Village Grill,4.5,2,0,2,Food
3,3,0,0,35.23317,-80.851456,12:02:49,2013605,Independent,College Quad,Johnson & Wales University,5,3,0,3,College & University
4,2,1,0,35.232198,-80.84889,15:39:58,2013605,Combined,Pub,The Pub at Gateway,3.5,4,0,1,Nightlife Spot
5,4,1,0,35.239275,-80.845154,15:11:56,2013606,Combined,Cocktail Bar,Wet Willie's,3,5,0,1,Nightlife Spot
6,4,1,0,35.239036,-80.845063,15:12:09,2013606,Combined,Nightlife Spot,World Nightclub,2,6,0,1,Nightlife Spot
7,4,1,0,35.239187,-80.84605,21:00:03,2013606,Combined,Bar,Roc's Jazz Bar,3.5,7,0,1,Nightlife Spot
8,5,0,0,35.243332,-80.85696,21:13:18,2013606,Independent,College History Building,Johnson C Smith University,3.5,8,0,3,College & University
8,5,0,0,35.243332,-80.85696,2:52:04,2013607,Independent,College History Building,Johnson C Smith University,3.5,8,0,3,College & University
8,5,0,0,35.243332,-80.85696,5:34:15,2013607,Independent,College History Building,Johnson C Smith University,3.5,8,0,3,College & University
8,5,0,0,35.243332,-80.85696,5:34:50,2013607,Independent,College History Building,Johnson C Smith University,3.5,8,0,3,College & University
9,6,1,1,35.218242,-80.945463,20:57:04,20121031,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,9,2,2,Food
10,7,0,1,35.219081,-80.836484,10:12:47,20121101,Independent,Hotel,Fairfield Inn & Suites,4,10,0,4,Travel & Transport
9,6,1,1,35.218242,-80.945463,11:18:54,20121101,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,9,2,2,Food
10,7,0,1,35.219081,-80.836484,14:00:16,20121102,Independent,Hotel,Fairfield Inn & Suites,4,10,0,4,Travel & Transport
9,6,1,1,35.218242,-80.945463,11:33:16,20121204,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,9,2,2,Food
11,8,0,1,35.176983,-80.878156,20:38:39,20121204,Independent,Drugstore / Pharmacy,CVS Pharmacy,3,11,3,5,Shop & Service
12,9,0,1,35.224704,-80.955842,23:52:39,20121212,Independent,Plane,Charlotte Douglas Airport Overlook,4.5,12,2,4,Travel & Transport
13,6,1,1,35.21842,-80.945388,23:05:43,20121218,Combined,American Restaurant,The Great American Bagel Bakery,2.5,13,2,2,Food
9,6,1,1,35.218242,-80.945463,17:55:22,20121229,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,9,2,2,Food
14,10,0,1,35.240292,-80.887055,22:58:58,2012712,Independent,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,1.5,9,0,2,Food
14,10,0,1,35.240292,-80.887055,23:05:27,2012712,Independent,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,1.5,9,0,2,Food
10,7,0,1,35.219081,-80.836484,10:43:23,2013207,Independent,Hotel,Fairfield Inn & Suites,4,10,0,4,Travel & Transport
10,7,0,1,35.219081,-80.836484,10:05:23,2013221,Independent,Hotel,Fairfield Inn & Suites,4,10,0,4,Travel & Transport
9,6,1,1,35.218242,-80.945463,11:58:18,2013221,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,9,2,2,Food
10,7,0,1,35.219081,-80.836484,19:19:42,2013227,Independent,Hotel,Fairfield Inn & Suites,4,10,0,4,Travel & Transport
15,11,0,1,35.219081,-80.8367,0:18:44,2013228,Independent,Bar,Q Tavern,3,7,0,1,Nightlife Spot
10,7,0,1,35.219081,-80.836484,10:16:34,2013228,Independent,Hotel,Fairfield Inn & Suites,4,10,0,4,Travel & Transport
9,6,1,1,35.218242,-80.945463,11:02:26,2013326,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,9,2,2,Food
16,12,0,2,35.13633,-80.902591,3:09:34,2012522,Independent,Hotel,Courtyard by Marriott Charlotte Arrowood,3.5,10,4,4,Travel & Transport
17,13,0,2,35.136756,-80.904222,12:48:15,2012522,Independent,Coffee Shop,Starbucks,3,14,4,2,Food
18,14,1,2,35.14567,-80.929284,14:38:42,2012522,Combined,Paper / Office Supplies Store,The UPS Store,4,15,4,5,Shop & Service
19,15,0,2,35.116442,-80.957907,23:23:21,2012523,Independent,Bar,Tilted Kilt Pub & Eatery,3,7,4,1,Nightlife Spot
16,12,0,2,35.13633,-80.902591,3:11:46,2012524,Independent,Hotel,Courtyard by Marriott Charlotte Arrowood,3.5,10,4,4,Travel & Transport
20,6,1,2,35.218058,-80.94519,12:52:32,2012810,Combined,Coffee Shop,Starbucks,3,14,2,2,Food
21,16,0,2,35.137007,-80.90198,5:36:08,2013102,Independent,Hotel,TownePlace Suites Charlotte Arrowood,2.5,10,4,4,Travel & Transport
17,13,0,2,35.136756,-80.904222,12:55:17,2013102,Independent,Coffee Shop,Starbucks,3,14,4,2,Food
17,13,0,2,35.136756,-80.904222,19:15:26,2013316,Independent,Coffee Shop,Starbucks,3,14,4,2,Food
22,17,0,2,35.304152,-80.7516,0:09:27,2013318,Independent,Hotel,Residence Inn Charlotte University Research Park,2.5,10,5,4,Travel & Transport
23,18,0,2,35.313461,-80.743011,12:37:09,2013318,Independent,Coffee Shop,Starbucks,3.5,14,5,2,Food
24,19,1,2,35.340297,-80.764842,16:21:57,2013320,Combined,Food,Teriyaki Madness,3.5,16,5,2,Food
25,20,1,2,35.088073,-80.862819,23:35:01,2013320,Combined,Sports Bar,Fox & Hound,2.5,17,6,1,Nightlife Spot
22,17,0,2,35.304152,-80.7516,2:43:31,2013321,Independent,Hotel,Residence Inn Charlotte University Research Park,2.5,10,5,4,Travel & Transport
26,21,0,2,35.15738,-80.82996,23:15:48,2013812,Independent,Hotel,Charlotte Marriott SouthPark,3.5,10,3,4,Travel & Transport
27,22,0,2,35.152989,-80.836863,23:18:04,2013812,Independent,Hotel Bar,Renaissance Charlotte SouthPark Hotel,4,18,3,1,Nightlife Spot
27,22,0,2,35.152989,-80.836863,23:18:04,2013812,Independent,Hotel Bar,Renaissance Charlotte SouthPark Hotel,4,18,3,4,Travel & Transport
26,21,0,2,35.15738,-80.82996,20:45:49,2013813,Independent,Hotel,Charlotte Marriott SouthPark,3.5,10,3,4,Travel & Transport
28,23,1,3,35.225244,-80.842004,0:19:22,2013128,Combined,Bowling Alley,StrikeCity,3,19,0,0,Arts & Entertainment
29,24,1,3,35.227234,-80.838711,0:19:44,2013128,Combined,BBQ Joint,Queen City Q,3.5,20,0,2,Food
30,25,1,3,35.147615,-80.829969,0:20:24,2013128,Combined,Grocery Store,Whole Foods Market - Charlotte,4,21,3,5,Shop & Service
0,0,0,3,35.225884,-80.852895,21:51:35,2013130,Independent,Football Stadium,Bank of America Stadium,4,0,0,0,Arts & Entertainment
31,26,0,3,35.224546,-80.888923,21:56:30,2013130,Independent,BBQ Joint,Bar-B-Q King,3.5,20,0,2,Food
32,27,0,3,35.22293,-80.845771,16:06:47,2013316,Independent,Art Gallery,Charlotte Convention Center,3.5,22,0,0,Arts & Entertainment
0,0,0,3,35.225884,-80.852895,22:29:20,2013502,Independent,Football Stadium,Bank of America Stadium,4,0,0,0,Arts & Entertainment
33,28,0,4,35.086449,-80.889071,18:08:26,20121011,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
33,28,0,4,35.086449,-80.889071,11:40:25,20121012,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
34,29,0,4,35.136701,-80.937797,11:52:34,20121012,Independent,Automotive Shop,NTB - National Tire & Battery,2.5,24,4,5,Shop & Service
35,30,0,4,35.074293,-80.877539,17:28:42,20121018,Independent,Grocery Store,BJ's Wholesale Club,3.5,21,6,5,Shop & Service
36,31,1,4,35.053292,-80.848558,22:19:04,20121027,Combined,Grocery Store,Harris Teeter,4,21,6,5,Shop & Service
33,28,0,4,35.086449,-80.889071,11:44:37,20121030,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
37,32,0,4,35.042391,-80.847517,14:49:33,20121031,Independent,Drugstore / Pharmacy,Walgreens,2.5,11,6,5,Shop & Service
33,28,0,4,35.086449,-80.889071,15:04:03,20121031,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
38,33,1,4,35.082129,-80.876713,15:16:25,20121031,Combined,Mall,Carolina Place Mall,3.5,25,6,5,Shop & Service
39,6,1,4,35.220319,-80.943596,11:39:24,20121105,Combined,Fast Food Restaurant,Chili's Too!,2.5,26,2,2,Food
40,34,1,4,35.093261,-80.877527,17:04:15,20121109,Combined,Hardware Store,The Home Depot,3.5,27,6,5,Shop & Service
41,33,1,4,35.081045,-80.877163,20:59:42,20121110,Combined,Sporting Goods Shop,REI,4,28,6,5,Shop & Service
33,28,0,4,35.086449,-80.889071,2:09:50,20121111,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
33,28,0,4,35.086449,-80.889071,19:13:07,20121116,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
42,35,1,4,35.08673,-80.847101,19:38:56,20121116,Combined,Pet Store,Pet Supplies Plus,4,29,6,5,Shop & Service
39,6,1,4,35.220319,-80.943596,19:59:53,20121120,Combined,Fast Food Restaurant,Chili's Too!,2.5,26,2,2,Food
43,6,1,4,35.224246,-80.940303,0:59:33,20121121,Combined,Mexican Restaurant,Salsarita's Express,2.5,30,2,2,Food
43,6,1,4,35.224246,-80.940303,0:59:50,20121121,Combined,Mexican Restaurant,Salsarita's Express,2.5,30,2,2,Food
44,36,0,4,35.085959,-80.886824,17:52:06,20121124,Independent,Diner,The Dive N,4.5,31,6,2,Food
33,28,0,4,35.086449,-80.889071,18:27:14,20121124,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
45,20,1,4,35.088815,-80.860057,18:47:14,20121124,Combined,Grocery Store,Dollar Tree,3.5,21,6,5,Shop & Service
46,37,0,4,35.056533,-80.813948,22:05:40,20121125,Independent,Church,Saint Matthew Catholic Church,4,32,7,6,Professional & Other Places
33,28,0,4,35.086449,-80.889071,19:05:34,20121130,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
47,38,0,4,35.090421,-80.856182,23:16:47,20121130,Independent,Hardware Store,Lowe's Home Improvement Warehouse Stores,2,27,6,5,Shop & Service
48,35,1,4,35.086753,-80.847398,16:23:28,20121201,Combined,Grocery Store,7-Eleven,2.5,21,6,5,Shop & Service
36,31,1,4,35.053292,-80.848558,23:45:00,20121202,Combined,Grocery Store,Harris Teeter,4,21,6,5,Shop & Service
43,6,1,4,35.224246,-80.940303,18:14:44,20121203,Combined,Mexican Restaurant,Salsarita's Express,2.5,30,2,2,Food
33,28,0,4,35.086449,-80.889071,6:28:48,20121207,Independent,Post Office,U S Post Office,2.5,23,6,6,Professional & Other Places
49,39,0,4,35.112661,-80.920576,17:17:03,20121207,Independent,Fast Food Restaurant,Jack In the Box,2.5,26,4,2,Food
50,40,0,4,35.13878,-80.877793,0:31:28,20121209,Independent,Chinese Restaurant,Fortune Garden,3.5,33,3,2,Food
42,35,1,4,35.08673,-80.847101,18:09:35,20121209,Combined,Pet Store,Pet Supplies Plus,4,29,6,5,Shop & Service
51,41,1,4,35.058819,-80.815592,23:52:11,20121209,Combined,Grocery Store,Target,3.5,21,7,5,Shop & Service
44,36,0,4,35.085959,-80.886824,18:34:35,20121215,Independent,Diner,The Dive N,4.5,31,6,2,Food
35,30,0,4,35.074293,-80.877539,20:22:08,20121215,Independent,Grocery Store,BJ's Wholesale Club,3.5,21,6,5,Shop & Service
52,42,0,4,35.079601,-80.828905,0:22:05,20121216,Independent,Italian Restaurant,Riccio's Italian Restaurant,4,34,7,2,Food
