Location_id,Item_id,POI_Type,User_id,Latitude,Longitude,L2_Category_name,name,stars,Time,Date,POI,clusters,L1_Category_name,L1_Category
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,21:51:04,2012403,Combined,0,0,Travel & Transport
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,21:54:40,2012403,Combined,0,1,Shop & Service
2,0,0,0,33.522757,-112.09891299999998,2,Bank of America,1.5,21:59:33,2012403,Combined,0,1,Shop & Service
3,0,0,0,33.522777000000005,-112.09398799999998,3,Seva Beauty,3.0,22:40:24,2012403,Combined,0,1,Shop & Service
4,0,0,0,33.520897,-112.098139,4,Target Optical,4.5,22:54:19,2012403,Combined,0,1,Shop & Service
5,1,1,0,33.488921000000005,-112.082997,5,Eribertos Mexican Food,3.5,17:38:20,2012407,Independent,0,2,Food
6,2,1,0,33.506915,-112.074183,6,Sweet Venezia,3.0,20:02:54,2012408,Independent,0,2,Food
7,3,1,0,33.43736,-111.999649,7,Prairie News and Gifts,3.5,18:10:22,2012409,Independent,1,1,Shop & Service
8,4,1,0,33.435758,-111.997897,5,El Bravo Sky Harbor,2.5,18:17:32,2012409,Independent,1,2,Food
9,5,1,0,33.465893,-112.060629,8,Urgent Care Plus,2.5,23:26:55,2012411,Independent,2,1,Shop & Service
10,6,1,0,33.465472,-112.082981,9,Pei Wei,2.5,2:47:32,2012412,Independent,2,2,Food
7,3,1,0,33.43736,-111.999649,7,Prairie News and Gifts,3.5,13:30:10,2012412,Independent,1,1,Shop & Service
11,7,1,0,33.495619,-112.073802,10,Arco AMPM Station,1.0,1:12:07,2012415,Independent,0,0,Travel & Transport
6,2,1,0,33.506915,-112.074183,6,Sweet Venezia,3.0,4:40:59,2012415,Independent,0,2,Food
12,8,1,0,33.450507,-112.072668,11,A Magic Touch Mobile Massage,4.0,21:54:25,2012419,Independent,2,1,Shop & Service
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,23:26:57,2012419,Combined,0,0,Travel & Transport
13,0,0,0,33.522685,-112.098055,12,Ross Dress for Less,3.0,23:30:48,2012419,Combined,0,1,Shop & Service
14,9,0,0,33.574603,-112.121339,3,Custom License Plates,3.0,0:15:54,2012420,Combined,3,1,Shop & Service
15,0,0,0,33.521415000000005,-112.09548,13,Costco,3.5,0:50:57,2012420,Combined,0,1,Shop & Service
2,0,0,0,33.522757,-112.09891299999998,2,Bank of America,1.5,1:24:51,2012420,Combined,0,1,Shop & Service
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,1:37:14,2012420,Combined,0,0,Travel & Transport
10,6,1,0,33.465472,-112.082981,9,Pei Wei,2.5,3:26:09,2012420,Independent,2,2,Food
16,10,0,0,33.510046,-112.045634,14,Total Wine & More,4.0,0:54:48,2012421,Combined,4,1,Shop & Service
