Location_id,POI_id,POI_Type,Org_id,User_id,TimeStamp,Zone,Latitude,Longitude,Category,yelp_id,stars,Local_sg_time
405,405,Independent,4b15508cf964a520c3b023e3,445,Fri Feb 01 04:28:19 +0000 2013,-420,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,3.5,1/2/2013 4:28
405,405,Independent,4b15508cf964a520c3b023e3,445,Thu Mar 07 07:25:42 +0000 2013,-420,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,3.5,7/3/2013 7:25
405,405,Independent,4b15508cf964a520c3b023e3,445,Wed Apr 10 23:40:20 +0000 2013,-360,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,3.5,10/4/2013 23:40
917,917,Independent,4b0586e6f964a520c77322e3,521,Sun Apr 22 01:42:06 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,4,22/4/2012 1:42
915,915,Independent,4b0586eaf964a520217522e3,521,Sun Apr 22 01:43:00 +0000 2012,-360,51.08204,-114.00002,Steakhouse,hDzL5ywj0q3CDjXXSvhYAg,4,22/4/2012 1:43
916,916,Independent,4ce3568f2407a1cdc5ae4dd0,521,Sun Apr 22 01:43:21 +0000 2012,-360,51.082187,-114.000384,Pub,hn_3yKI4wtL2zOwhEjX7nQ,5,22/4/2012 1:43
915,915,Independent,4b0586eaf964a520217522e3,521,Sun Apr 22 16:21:38 +0000 2012,-360,51.08204,-114.00002,Steakhouse,hDzL5ywj0q3CDjXXSvhYAg,4,22/4/2012 16:21
892,892,Independent,4b5c9711f964a520713829e3,521,Sun Apr 22 16:22:44 +0000 2012,-360,51.080482,-114.002946,Diner,hcNgeIo2TWyfzgkR0yG-BQ,3,22/4/2012 16:22
1181,1181,Independent,4b0586e6f964a5209f7322e3,521,Sun Apr 22 18:28:50 +0000 2012,-360,51.04996,-114.06965,Hotel,fbbO2vNsYPhi11Se7T95lQ,3.5,22/4/2012 18:28
1177,1177,Independent,4b0586e9f964a520b47422e3,521,Sun Apr 22 18:31:00 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,3.5,22/4/2012 18:31
1174,1174,Independent,4b6c4525f964a520dc2c2ce3,521,Sun Apr 22 18:59:03 +0000 2012,-360,51.048468,-114.071598,Coffee Shop,4X-IzouANwT37SS0McEhPA,2.5,22/4/2012 18:59
512,512,Independent,4b5b72b5f964a520d3fe28e3,521,Sun Apr 22 19:10:20 +0000 2012,-360,51.03802,-114.075437,Board Shop,hYUR8pzbBd61T99VuyJzNQ,4,22/4/2012 19:10
474,474,Independent,4b0586ecf964a520d67522e3,521,Sun Apr 22 19:55:01 +0000 2012,-360,51.037408,-114.060752,Casino,dkYxm9XJ0jKQ1LcuI829tg,3.5,22/4/2012 19:55
509,509,Independent,4b0586e8f964a520787422e3,521,Sun Apr 22 19:56:41 +0000 2012,-360,51.037878,-114.073691,Bar,6qmCO3di-FKWLdRn2LuF6g,4,22/4/2012 19:56
790,790,Independent,4c1c351db4e62d7f8ecada93,521,Sun Apr 22 20:16:11 +0000 2012,-360,51.069172,-114.062233,Ice Cream Shop,TA7o4xcWw5tc3FJxkOH2dQ,2,22/4/2012 20:16
917,917,Independent,4b0586e6f964a520c77322e3,521,Mon Apr 23 14:24:18 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,4,23/4/2012 14:24
1183,1183,Independent,4e27ad2a18a83a13622ab089,521,Mon Apr 23 19:39:20 +0000 2012,-360,51.049588,-114.069287,Cocktail Bar,njhAtkIZF41u4tC0RiVjOA,2.5,23/4/2012 19:39
1177,1177,Independent,4b0586e9f964a520b47422e3,521,Mon Apr 23 19:43:49 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,3.5,23/4/2012 19:43
1177,1177,Independent,4b0586e9f964a520b47422e3,521,Tue Apr 24 01:39:17 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,3.5,24/4/2012 1:39
1160,2103,Combined,4b0586eaf964a520147522e3,521,Tue Apr 24 01:47:56 +0000 2012,-360,51.051997,-114.069843,American Restaurant,XbyGwD2UtQNov8MnJOv7pQ,4.5,24/4/2012 1:47
769,769,Independent,4b4827f8f964a520364926e3,521,Tue Apr 24 02:37:08 +0000 2012,-360,51.054853,-114.07163,Gastropub,BJ3AyMhTaORAu_e_J2KNEQ,4,24/4/2012 2:37
917,917,Independent,4b0586e6f964a520c77322e3,521,Tue Apr 24 13:08:15 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,4,24/4/2012 13:08
600,600,Independent,4c85059fd34ca14392384380,521,Tue Apr 24 22:29:38 +0000 2012,-360,51.129839,-114.011995,Caf,QN-PNSF0epE94CDQq9WECA,3.5,24/4/2012 22:29
1213,1213,Independent,4b0586e6f964a520a17322e3,521,Tue Jan 29 14:47:02 +0000 2013,-420,51.045042,-114.06241,Hotel,tTpeNajXkB9gvOim5lWDXA,3.5,29/1/2013 14:47
1123,1123,Independent,4b71b7aaf964a5203e582de3,521,Tue Jan 29 23:06:05 +0000 2013,-420,51.048563,-114.074738,Japanese Restaurant,n8apkesub_mi7v8_dytc5Q,4.5,29/1/2013 23:06
1177,1177,Independent,4b0586e9f964a520b47422e3,521,Tue Jan 29 23:34:57 +0000 2013,-420,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,3.5,29/1/2013 23:34
1213,1213,Independent,4b0586e6f964a520a17322e3,521,Tue Jan 29 23:37:43 +0000 2013,-420,51.045042,-114.06241,Hotel,tTpeNajXkB9gvOim5lWDXA,3.5,29/1/2013 23:37
1177,1177,Independent,4b0586e9f964a520b47422e3,521,Thu Jan 31 00:54:36 +0000 2013,-420,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,3.5,31/1/2013 0:54
543,543,Independent,51663012e4b0f303f2ae7d48,521,Mon Jul 08 12:24:04 +0000 2013,-360,51.03845,-114.088021,Hotel,HXVCaoCzcOGuSSc7Xn_phg,5,8/7/2013 12:24
1249,2102,Combined,4b3ffa5df964a5206ab325e3,521,Mon Jul 08 19:28:01 +0000 2013,-360,51.044827,-114.068849,Coffee Shop,6umdBLNv5DFCoGxjnH6Ajg,4,8/7/2013 19:28
1218,1218,Independent,4b2836ecf964a520019124e3,521,Mon Jul 08 19:28:36 +0000 2013,-360,51.044533,-114.063019,American Restaurant,bwpvo0hDKzHzZoak0vFqBQ,4,8/7/2013 19:28
1160,2103,Combined,4b0586eaf964a520147522e3,521,Mon Jul 08 22:52:29 +0000 2013,-360,51.051997,-114.069843,American Restaurant,XbyGwD2UtQNov8MnJOv7pQ,4.5,8/7/2013 22:52
1161,2103,Combined,4b0586ecf964a520ca7522e3,521,Mon Jul 08 22:52:33 +0000 2013,-360,51.05217,-114.069634,Pub,WLEneu6YVE_qM4NGXj2Ddg,3.5,8/7/2013 22:52
1180,1180,Independent,4b0b597bf964a520a93023e3,521,Tue Jul 09 18:09:19 +0000 2013,-360,51.049681,-114.069102,Steakhouse,kunLUCRIhzyZrxJQ5b-Mbw,3.5,9/7/2013 18:09
1182,1182,Independent,4b31484cf964a520df0325e3,521,Tue Jul 09 18:09:39 +0000 2013,-360,51.049652,-114.069732,Coffee Shop,RquAcUUATxCkOlaqoUcVJg,3.5,9/7/2013 18:09
1184,1184,Independent,4fc53a9be4b0d6790edafada,521,Tue Jul 09 21:44:09 +0000 2013,-360,51.049365,-114.069418,Bar,kJyVvFj0Jl1lS2Z7mi9pJw,3,9/7/2013 21:44
1219,2104,Combined,4b22926ef964a520444924e3,521,Wed Jul 10 00:48:23 +0000 2013,-360,51.04536,-114.062805,American Restaurant,LlJn7Q7Ow0lwQpk4gg0KeQ,3.5,10/7/2013 0:48
1224,2104,Combined,4b0586ebf964a520997522e3,521,Wed Jul 10 00:48:44 +0000 2013,-360,51.045534,-114.062617,American Restaurant,Flb_GvJ8d4UR2JuHyHlFzA,3.5,10/7/2013 0:48
541,541,Independent,4c689ece428a0f47dd8d001b,521,Wed Jul 10 01:09:03 +0000 2013,-360,51.037998,-114.087712,Pizza Place,i6IwLa77KFAJ8ZhAdK6u6w,2.5,10/7/2013 1:09
1109,1109,Independent,4fec61ace4b008df5dc9029e,521,Wed Jul 10 17:11:53 +0000 2013,-360,51.045404,-114.077451,Caf,W-aLwZKWgmied8UsUOYhPg,2,10/7/2013 17:11
1107,1107,Independent,4b0586e8f964a520577422e3,521,Wed Jul 10 17:12:21 +0000 2013,-360,51.04506,-114.07634,Bar,n9txQRF6TuOs8CnEQCuWNg,3.5,10/7/2013 17:12
1100,1100,Independent,4b0586e6f964a520a87322e3,521,Tue Aug 20 11:52:33 +0000 2013,-360,51.047071,-114.080872,Hotel,5x-h1vryKFRAuvLJFbSYuA,2,20/8/2013 11:52
1100,1100,Independent,4b0586e6f964a520a87322e3,521,Thu Aug 22 12:38:19 +0000 2013,-360,51.047071,-114.080872,Hotel,5x-h1vryKFRAuvLJFbSYuA,2,22/8/2013 12:38
1101,1101,Independent,4b1eb46ef964a520281e24e3,521,Thu Aug 22 12:38:49 +0000 2013,-360,51.047388,-114.08086,Coffee Shop,j2Ig_jtAflSrJCZwTFU62g,4,22/8/2013 12:38
1102,1102,Independent,4b05aa23f964a5208ce022e3,521,Fri Aug 23 13:32:16 +0000 2013,-360,51.04711,-114.080675,Restaurant,#NAME?,3.5,23/8/2013 13:32
1181,1181,Independent,4b0586e6f964a5209f7322e3,521,Thu Sep 12 22:15:37 +0000 2013,-360,51.04996,-114.06965,Hotel,fbbO2vNsYPhi11Se7T95lQ,3.5,12/9/2013 22:15
