Location_id,POI_id,POI_Type,Org_id,User_id,TimeStamp,Latitude,Longitude,Category_2,yelp_ID,Local_sg_time,stars
0,0,Independent,4e91b6459a52db7dbabab2ea,9,Sun Sep 09 23:20:38 +0000 2012,35.227758,-80.853371,Stadium,Z5BHNFjt7ZmAse2kKlw2uA,9/9/2012 23:20,4
2,2,Independent,4bddc45c6198c9b6859711ff,9,Sun Sep 09 23:20:56 +0000 2012,35.228426,-80.854568,Pub,sXj4ZFR9SmftEDXOzmZscw,9/9/2012 23:20,3
5,5,Independent,4b5a16e9f964a5207cac28e3,60,Fri Jun 08 15:58:58 +0000 2012,35.224868,-80.955935,Scenic Lookout,WiWCtinRtykBC6DCg6w3Fg,8/6/2012 15:58,4.5
4,4,Independent,4b155049f964a52045b023e3,60,Fri Jun 08 15:59:30 +0000 2012,35.224912,-80.839655,Basketball Stadium,sYJaNxG8KLus6U7TJ2JHWA,8/6/2012 15:59,4
1,1,Independent,4c9f60f246978cfa453eaa7f,63,Thu Apr 04 23:07:45 +0000 2013,35.225884,-80.852895,Football Stadium,Z5BHNFjt7ZmAse2kKlw2uA,4/4/2013 23:07,4
13,13,Independent,4eb596bb7ee5024d7f16f978,63,Thu Apr 04 23:59:28 +0000 2013,35.241024,-80.814505,Brewery,#NAME?,4/4/2013 23:59,4.5
12,3127,Combined,4b21405cf964a520033924e3,63,Wed Jun 05 07:25:46 +0000 2013,35.23223,-80.848625,Greek Restaurant,IIUK1lz_1upqYtHu8ZuClA,5/6/2013 7:25,4.5
10,10,Independent,51522888e4b0f44ebc88175f,63,Wed Jun 05 12:02:49 +0000 2013,35.23317,-80.851456,College Quad,Lw8nfDTuRtEW9c0PEgJ-gQ,5/6/2013 12:02,5
9,3127,Combined,4b25d6d6f964a520c57624e3,63,Wed Jun 05 15:39:58 +0000 2013,35.232198,-80.84889,Pub,PZngIVXHzqnqOS1E7HWGYg,5/6/2013 15:39,3.5
8,3126,Combined,4be21308b02ec9b63d2a4cc0,63,Thu Jun 06 15:11:56 +0000 2013,35.239275,-80.845154,Cocktail Bar,wUHPgIh-rJThxPvxHPlsjQ,6/6/2013 15:11,3
14,3126,Combined,4e0bb8d92271c698c732e083,63,Thu Jun 06 15:12:09 +0000 2013,35.239036,-80.845063,Nightlife Spot,Lyz1JKChjanwGXLJM_zqYA,6/6/2013 15:12,2
15,3126,Combined,4e67df7c1838501628849e21,63,Thu Jun 06 21:00:03 +0000 2013,35.239187,-80.84605,Bar,azG7UDKXgSo938c2m27cZQ,6/6/2013 21:00,3.5
7,7,Independent,50744aa3e4b07ac478d6c701,63,Thu Jun 06 21:13:18 +0000 2013,35.243332,-80.85696,College History Building,2YrKOindMktn5pOGhTK97w,6/6/2013 21:13,3.5
7,7,Independent,50744aa3e4b07ac478d6c701,63,Fri Jun 07 02:52:04 +0000 2013,35.243332,-80.85696,College History Building,2YrKOindMktn5pOGhTK97w,7/6/2013 2:52,3.5
7,7,Independent,50744aa3e4b07ac478d6c701,63,Fri Jun 07 05:34:15 +0000 2013,35.243332,-80.85696,College History Building,2YrKOindMktn5pOGhTK97w,7/6/2013 5:34,3.5
7,7,Independent,50744aa3e4b07ac478d6c701,63,Fri Jun 07 05:34:50 +0000 2013,35.243332,-80.85696,College History Building,2YrKOindMktn5pOGhTK97w,7/6/2013 5:34,3.5
4,4,Independent,4b155049f964a52045b023e3,151,Thu Mar 28 08:41:23 +0000 2013,35.224912,-80.839655,Basketball Stadium,sYJaNxG8KLus6U7TJ2JHWA,28/3/2013 8:41,4
17,17,Independent,4e1a264c183880768f52bbdb,151,Thu Mar 28 10:53:07 +0000 2013,35.31986,-80.873276,Golf Course,k0IOXOrhQIoaq3lAZiWFyQ,28/3/2013 10:53,4
16,16,Independent,4b108c81f964a5209c7223e3,151,Thu Mar 28 11:32:08 +0000 2013,35.319656,-80.867629,Park,k0IOXOrhQIoaq3lAZiWFyQ,28/3/2013 11:32,4
1,1,Independent,4c9f60f246978cfa453eaa7f,151,Wed Jul 17 16:07:01 +0000 2013,35.225884,-80.852895,Football Stadium,Z5BHNFjt7ZmAse2kKlw2uA,17/7/2013 16:07,4
4,4,Independent,4b155049f964a52045b023e3,151,Wed Jul 17 17:11:13 +0000 2013,35.224912,-80.839655,Basketball Stadium,sYJaNxG8KLus6U7TJ2JHWA,17/7/2013 17:11,4
18,3502,Combined,4b145398f964a52040a123e3,168,Wed Oct 31 20:57:04 +0000 2012,35.218242,-80.945463,Fried Chicken Joint,Un0QXKDscxlI_yi3u14ALA,31/10/2012 20:57,3.5
19,19,Independent,4b058639f964a520265922e3,168,Thu Nov 01 10:12:47 +0000 2012,35.219081,-80.836484,Hotel,EwPAkEUE1DtwWymmv6rS3g,1/11/2012 10:12,4
18,3502,Combined,4b145398f964a52040a123e3,168,Thu Nov 01 11:18:54 +0000 2012,35.218242,-80.945463,Fried Chicken Joint,Un0QXKDscxlI_yi3u14ALA,1/11/2012 11:18,3.5
19,19,Independent,4b058639f964a520265922e3,168,Fri Nov 02 14:00:16 +0000 2012,35.219081,-80.836484,Hotel,EwPAkEUE1DtwWymmv6rS3g,2/11/2012 14:00,4
18,3502,Combined,4b145398f964a52040a123e3,168,Tue Dec 04 11:33:16 +0000 2012,35.218242,-80.945463,Fried Chicken Joint,Un0QXKDscxlI_yi3u14ALA,4/12/2012 11:33,3.5
24,24,Independent,4b6dc623f964a5208e8e2ce3,168,Tue Dec 04 20:38:39 +0000 2012,35.176983,-80.878156,Drugstore / Pharmacy,wMg55W7gShgZbeAyhem0xw,4/12/2012 20:38,3
6,6,Independent,4fe4e3b0e4b0dceaf851352b,168,Wed Dec 12 23:52:39 +0000 2012,35.224704,-80.955842,Plane,WiWCtinRtykBC6DCg6w3Fg,12/12/2012 23:52,4.5
20,3502,Combined,4fa5388de4b0e4baa27cd561,168,Tue Dec 18 23:05:43 +0000 2012,35.21842,-80.945388,American Restaurant,yKfjeMdJdQ7G1C9Qs1FNzA,18/12/2012 23:05,2.5
18,3502,Combined,4b145398f964a52040a123e3,168,Sat Dec 29 17:55:22 +0000 2012,35.218242,-80.945463,Fried Chicken Joint,Un0QXKDscxlI_yi3u14ALA,29/12/2012 17:55,3.5
21,21,Independent,4bf3bf3294af2d7ffabf3972,168,Thu Jul 12 22:58:58 +0000 2012,35.240292,-80.887055,Fried Chicken Joint,twGzzO3eek_cXtwdbOzAoQ,12/7/2012 22:58,1.5
21,21,Independent,4bf3bf3294af2d7ffabf3972,168,Thu Jul 12 23:05:27 +0000 2012,35.240292,-80.887055,Fried Chicken Joint,twGzzO3eek_cXtwdbOzAoQ,12/7/2012 23:05,1.5
19,19,Independent,4b058639f964a520265922e3,168,Thu Feb 07 10:43:23 +0000 2013,35.219081,-80.836484,Hotel,EwPAkEUE1DtwWymmv6rS3g,7/2/2013 10:43,4
19,19,Independent,4b058639f964a520265922e3,168,Thu Feb 21 10:05:23 +0000 2013,35.219081,-80.836484,Hotel,EwPAkEUE1DtwWymmv6rS3g,21/2/2013 10:05,4
18,3502,Combined,4b145398f964a52040a123e3,168,Thu Feb 21 11:58:18 +0000 2013,35.218242,-80.945463,Fried Chicken Joint,Un0QXKDscxlI_yi3u14ALA,21/2/2013 11:58,3.5
19,19,Independent,4b058639f964a520265922e3,168,Wed Feb 27 19:19:42 +0000 2013,35.219081,-80.836484,Hotel,EwPAkEUE1DtwWymmv6rS3g,27/2/2013 19:19,4
22,22,Independent,4f499b98e4b05ebee0b58ab1,168,Thu Feb 28 00:18:44 +0000 2013,35.219081,-80.8367,Bar,om4t1hDJRQqTRS9VT7ADhA,28/2/2013 0:18,3
19,19,Independent,4b058639f964a520265922e3,168,Thu Feb 28 10:16:34 +0000 2013,35.219081,-80.836484,Hotel,EwPAkEUE1DtwWymmv6rS3g,28/2/2013 10:16,4
18,3502,Combined,4b145398f964a52040a123e3,168,Tue Mar 26 11:02:26 +0000 2013,35.218242,-80.945463,Fried Chicken Joint,Un0QXKDscxlI_yi3u14ALA,26/3/2013 11:02,3.5
25,25,Independent,4b1fffb9f964a520eb2b24e3,262,Sat Oct 13 12:55:44 +0000 2012,35.224675,-80.841039,Bus Station,LYaiAZUnP0l7N3JvYV836w,13/10/2012 12:55,3
1,1,Independent,4c9f60f246978cfa453eaa7f,276,Thu Aug 29 01:11:32 +0000 2013,35.225884,-80.852895,Football Stadium,Z5BHNFjt7ZmAse2kKlw2uA,29/8/2013 1:11,4
27,27,Independent,4cf05ec51d18a143d6174cec,358,Tue May 22 03:09:34 +0000 2012,35.13633,-80.902591,Hotel,02YwZJsj3YWcthdUVcfFuA,22/5/2012 3:09,3.5
26,26,Independent,4b439c6ff964a52048e425e3,358,Tue May 22 12:48:15 +0000 2012,35.136756,-80.904222,Coffee Shop,Rx6PF3O6Q8pJz8dLMJZfKQ,22/5/2012 12:48,3
37,3403,Combined,4be2f3b3cbdbef3bae8060d8,358,Tue May 22 14:38:42 +0000 2012,35.14567,-80.929284,Paper / Office Supplies Store,ttsLP8o7Zlu9rPOpVRwG_g,22/5/2012 14:38,4
34,34,Independent,4b099ce1f964a5205b1a23e3,358,Wed May 23 23:23:21 +0000 2012,35.116442,-80.957907,Bar,nzgmxdQWDQnsub2SwZH3aQ,23/5/2012 23:23,3
27,27,Independent,4cf05ec51d18a143d6174cec,358,Thu May 24 03:11:46 +0000 2012,35.13633,-80.902591,Hotel,02YwZJsj3YWcthdUVcfFuA,24/5/2012 3:11,3.5
36,3502,Combined,4b54461cf964a52031b627e3,358,Fri Aug 10 12:52:32 +0000 2012,35.218058,-80.94519,Coffee Shop,3oMcNguqRNMxsb_j0Vdqsw,10/8/2012 12:52,3
38,38,Independent,4bc4366edce4eee19404729d,358,Wed Jan 02 05:36:08 +0000 2013,35.137007,-80.90198,Hotel,gfwyMJ5jjROWCF4G6ERsAg,2/1/2013 5:36,2.5
26,26,Independent,4b439c6ff964a52048e425e3,358,Wed Jan 02 12:55:17 +0000 2013,35.136756,-80.904222,Coffee Shop,Rx6PF3O6Q8pJz8dLMJZfKQ,2/1/2013 12:55,3
26,26,Independent,4b439c6ff964a52048e425e3,358,Sat Mar 16 19:15:26 +0000 2013,35.136756,-80.904222,Coffee Shop,Rx6PF3O6Q8pJz8dLMJZfKQ,16/3/2013 19:15,3
33,33,Independent,4bc40fb0dce4eee1cde8719d,358,Mon Mar 18 00:09:27 +0000 2013,35.304152,-80.7516,Hotel,egOdSTggpdFEnQmIjNDmdg,18/3/2013 0:09,2.5
