Location_id,POI_id,POI_Type,org_id,User_id,TimeStamp,Zone,Latitude,Longitude,Category,Yelp_id,stars,Local_sg_time
1275,1275,Independent,51780d46e4b0d1b09374318d,8,Mon Jun 03 15:03:41 +0000 2013,-420,33.434071,-111.994311,Bakery,ux6FCssPmLx5LrWzTHvxWg,3,3/6/2013 15:03
1275,1275,Independent,51780d46e4b0d1b09374318d,8,Mon Jun 03 15:30:16 +0000 2013,-420,33.434071,-111.994311,Bakery,ux6FCssPmLx5LrWzTHvxWg,3,3/6/2013 15:30
1283,1283,Independent,516f3ce7e4b0ea41c9486d57,8,Mon Jun 03 15:31:32 +0000 2013,-420,33.434756,-111.9942,Mexican Restaurant,R6cWq0FkVfV_Ee-YttlPyA,2,3/6/2013 15:31
2204,2204,Independent,4d0c560d3bbaa143b79a35da,55,Mon Jan 21 14:12:59 +0000 2013,-420,33.43253,-112.043025,Rental Car Location,n0SSApg8pIMu9uWr7IvxcQ,1.5,21/1/2013 14:12
2198,2198,Independent,50789ab1e4b0eb8b832d778e,55,Mon Jan 21 14:13:58 +0000 2013,-420,33.427178,-112.035327,Hobby Shop,zdM9p4ZOXUb-kdRr8VPGQg,3,21/1/2013 14:13
855,4300,Combined,4aec5f71f964a52071c621e3,168,Tue Apr 03 21:51:04 +0000 2012,-420,33.520454,-112.099745,Train Station,K3hZsobTOC-pxZpLV-v9ZQ,3.5,3/4/2012 21:51
867,4300,Combined,4a7620dbf964a52054e21fe3,168,Tue Apr 03 21:54:40 +0000 2012,-420,33.522793,-112.09548,Mall,UT9KnZ288uwsz4pxzUVzIQ,2.5,3/4/2012 21:54
861,4300,Combined,4bb197f4f964a520249b3ce3,168,Tue Apr 03 21:59:33 +0000 2012,-420,33.522757,-112.098913,Bank,-6R2wYNK-FQChXfhcBGAYw,1.5,3/4/2012 21:59
879,4300,Combined,4bf071333a15d13a71913e9f,168,Tue Apr 03 22:40:24 +0000 2012,-420,33.522777,-112.093988,Cosmetics Shop,JNfl0WHye7DeXOp8Ka6pPA,3,3/4/2012 22:40
857,4300,Combined,4a84fdf5f964a520fcfd1fe3,168,Tue Apr 03 22:54:19 +0000 2012,-420,33.520897,-112.098139,Department Store,GoeKg1hE-VMWFyI1PMOqiA,4.5,3/4/2012 22:54
618,618,Independent,4a53c00af964a520b1b21fe3,168,Sat Apr 07 17:38:20 +0000 2012,-420,33.488921,-112.082997,Mexican Restaurant,rNNVuA-xq1SVEQaLzrK4bw,3.5,7/4/2012 17:38
707,707,Independent,4a595b91f964a5204bb91fe3,168,Sun Apr 08 20:02:54 +0000 2012,-420,33.506915,-112.074183,American Restaurant,MdHKtSM-ZX5XSYogBKyGig,3,8/4/2012 20:02
1299,1299,Independent,4bf02101d4e4d13a12e215a7,168,Mon Apr 09 18:10:22 +0000 2012,-420,33.43736,-111.999649,Gift Shop,Dy-aOxYn7rWzMGb5lnY3Fw,3.5,9/4/2012 18:10
1310,1310,Independent,4cafb497eb65b1f7e40566cd,168,Mon Apr 09 18:17:32 +0000 2012,-420,33.435758,-111.997897,Mexican Restaurant,xceERetY6Q9Pu_BQ32xpeA,2.5,9/4/2012 18:17
501,501,Independent,4c2a7ead2219c9281a30a348,168,Wed Apr 11 23:26:55 +0000 2012,-420,33.465893,-112.060629,Drugstore / Pharmacy,Fy_Lmf-qxQioR9QWJ3YV7A,2.5,11/4/2012 23:26
418,418,Independent,4ae5e789f964a52007a321e3,168,Thu Apr 12 02:47:32 +0000 2012,-420,33.465472,-112.082981,Asian Restaurant,DL7V1_chkWkZtyG4_xNYfw,2.5,12/4/2012 2:47
1299,1299,Independent,4bf02101d4e4d13a12e215a7,168,Thu Apr 12 13:30:10 +0000 2012,-420,33.43736,-111.999649,Gift Shop,Dy-aOxYn7rWzMGb5lnY3Fw,3.5,12/4/2012 13:30
674,674,Independent,4aec87edf964a52057c821e3,168,Sun Apr 15 01:12:07 +0000 2012,-420,33.495619,-112.073802,Light Rail,p2e8LIsH6OdavsFDWRPRRw,1,15/4/2012 1:12
707,707,Independent,4a595b91f964a5204bb91fe3,168,Sun Apr 15 04:40:59 +0000 2012,-420,33.506915,-112.074183,American Restaurant,MdHKtSM-ZX5XSYogBKyGig,3,15/4/2012 4:40
1722,1722,Independent,4d1cedfe300ba09019fef5f3,168,Thu Apr 19 21:54:25 +0000 2012,-420,33.450507,-112.072668,Spa / Massage,kDVUYxn2e9J_tmFwBo8F1Q,4,19/4/2012 21:54
855,4300,Combined,4aec5f71f964a52071c621e3,168,Thu Apr 19 23:26:57 +0000 2012,-420,33.520454,-112.099745,Train Station,K3hZsobTOC-pxZpLV-v9ZQ,3.5,19/4/2012 23:26
862,4300,Combined,4b81a6c0f964a52064b530e3,168,Thu Apr 19 23:30:48 +0000 2012,-420,33.522685,-112.098055,Clothing Store,e7u9ag1ueJbk09jcsZYqkw,3,19/4/2012 23:30
1668,4302,Combined,4bb007e7f964a520d3323ce3,168,Fri Apr 20 00:15:54 +0000 2012,-420,33.574603,-112.121339,Cosmetics Shop,3NDfpZsvvM_kHaCECzpYjg,3,20/4/2012 0:15
853,4300,Combined,4ade7633f964a520037621e3,168,Fri Apr 20 00:50:57 +0000 2012,-420,33.521415,-112.09548,Grocery Store,qn1HGmLGm3iwI0lxIdKdQQ,3.5,20/4/2012 0:50
861,4300,Combined,4bb197f4f964a520249b3ce3,168,Fri Apr 20 01:24:51 +0000 2012,-420,33.522757,-112.098913,Bank,-6R2wYNK-FQChXfhcBGAYw,1.5,20/4/2012 1:24
855,4300,Combined,4aec5f71f964a52071c621e3,168,Fri Apr 20 01:37:14 +0000 2012,-420,33.520454,-112.099745,Train Station,K3hZsobTOC-pxZpLV-v9ZQ,3.5,20/4/2012 1:37
418,418,Independent,4ae5e789f964a52007a321e3,168,Fri Apr 20 03:26:09 +0000 2012,-420,33.465472,-112.082981,Asian Restaurant,DL7V1_chkWkZtyG4_xNYfw,2.5,20/4/2012 3:26
2717,4306,Combined,4b08a1b2f964a520e00f23e3,168,Sat Apr 21 00:54:48 +0000 2012,-420,33.510046,-112.045634,Wine Shop,xR7srTzHPLGqhAxKwVAyYw,4,21/4/2012 0:54
623,623,Independent,4b6dca5af964a52025902ce3,168,Sat Apr 21 04:03:42 +0000 2012,-420,33.48865,-112.082403,Sandwich Place,8lyBCij_sojtwWAlB40n8w,3,21/4/2012 4:03
621,621,Independent,4abdee78f964a520838b20e3,168,Sat Apr 21 04:34:12 +0000 2012,-420,33.488272,-112.081581,Grocery Store,XngwPRynytzSPJoVlawnjQ,2.5,21/4/2012 4:34
1299,1299,Independent,4bf02101d4e4d13a12e215a7,168,Sun Apr 22 23:42:29 +0000 2012,-420,33.43736,-111.999649,Gift Shop,Dy-aOxYn7rWzMGb5lnY3Fw,3.5,22/4/2012 23:42
1299,1299,Independent,4bf02101d4e4d13a12e215a7,168,Thu Apr 26 00:43:42 +0000 2012,-420,33.43736,-111.999649,Gift Shop,Dy-aOxYn7rWzMGb5lnY3Fw,3.5,26/4/2012 0:43
1299,1299,Independent,4bf02101d4e4d13a12e215a7,168,Sat Apr 28 14:41:41 +0000 2012,-420,33.43736,-111.999649,Gift Shop,Dy-aOxYn7rWzMGb5lnY3Fw,3.5,28/4/2012 14:41
587,587,Independent,413ba880f964a520311b1fe3,168,Sun Apr 29 02:49:47 +0000 2012,-420,33.485847,-112.06903,Chinese Restaurant,URFhSrJPk7JM2pUtsuWsAg,4,29/4/2012 2:49
607,607,Independent,4ae4899af964a5206a9b21e3,168,Sun Apr 29 03:43:50 +0000 2012,-420,33.487849,-112.074505,Drugstore / Pharmacy,wQ4-LKNd-HX6GsbmekTbbQ,2.5,29/4/2012 3:43
707,707,Independent,4a595b91f964a5204bb91fe3,168,Sun Apr 29 18:42:51 +0000 2012,-420,33.506915,-112.074183,American Restaurant,MdHKtSM-ZX5XSYogBKyGig,3,29/4/2012 18:42
225,225,Independent,4c4086716c1a95215b4cb96a,168,Sun Apr 29 20:27:30 +0000 2012,-420,33.495761,-112.2045,Seafood Restaurant,naX46MT7k6aDVB-j1jhBEg,3.5,29/4/2012 20:27
707,707,Independent,4a595b91f964a5204bb91fe3,168,Thu May 03 19:48:43 +0000 2012,-420,33.506915,-112.074183,American Restaurant,MdHKtSM-ZX5XSYogBKyGig,3,3/5/2012 19:48
618,618,Independent,4a53c00af964a520b1b21fe3,168,Sat May 05 04:10:15 +0000 2012,-420,33.488921,-112.082997,Mexican Restaurant,rNNVuA-xq1SVEQaLzrK4bw,3.5,5/5/2012 4:10
852,4300,Combined,472f0ea0f964a520134c1fe3,168,Sat May 05 20:23:32 +0000 2012,-420,33.521109,-112.094372,Movie Theater,tOhzbIoz_UHhzuXiGOEYgQ,3.5,5/5/2012 20:23
1293,1293,Independent,4b592254f964a5204d7e28e3,168,Sun May 06 21:06:15 +0000 2012,-420,33.436051,-111.999527,Bagel Shop,7FLmfV1Ena0xE0Ew82C2Xg,3,6/5/2012 21:06
855,4300,Combined,4aec5f71f964a52071c621e3,168,Sun May 06 22:07:08 +0000 2012,-420,33.520454,-112.099745,Train Station,K3hZsobTOC-pxZpLV-v9ZQ,3.5,6/5/2012 22:07
861,4300,Combined,4bb197f4f964a520249b3ce3,168,Sun May 06 22:13:35 +0000 2012,-420,33.522757,-112.098913,Bank,-6R2wYNK-FQChXfhcBGAYw,1.5,6/5/2012 22:13
879,4300,Combined,4bf071333a15d13a71913e9f,168,Sun May 06 22:34:41 +0000 2012,-420,33.522777,-112.093988,Cosmetics Shop,JNfl0WHye7DeXOp8Ka6pPA,3,6/5/2012 22:34
1299,1299,Independent,4bf02101d4e4d13a12e215a7,168,Wed May 09 02:08:12 +0000 2012,-420,33.43736,-111.999649,Gift Shop,Dy-aOxYn7rWzMGb5lnY3Fw,3.5,9/5/2012 2:08
1293,1293,Independent,4b592254f964a5204d7e28e3,168,Wed May 09 02:36:05 +0000 2012,-420,33.436051,-111.999527,Bagel Shop,7FLmfV1Ena0xE0Ew82C2Xg,3,9/5/2012 2:36
485,485,Independent,4b9edcc7f964a520f50637e3,168,Thu May 10 21:39:38 +0000 2012,-420,33.465483,-112.073146,Drugstore / Pharmacy,H3JIDZv-Y_nP7xgzcP1kNg,2.5,10/5/2012 21:39
499,499,Independent,4b957e17f964a520a5a534e3,168,Thu May 10 22:21:01 +0000 2012,-420,33.465521,-112.06354,Fast Food Restaurant,OUSHMxGGyGXpah3qVPyBdw,3.5,10/5/2012 22:21
528,528,Independent,4e016327ae609fa8ede283ea,168,Fri May 11 21:30:34 +0000 2012,-420,33.474393,-112.06492,Pizza Place,wxzG81ZyWpBje_mU4aFLaw,3.5,11/5/2012 21:30
529,529,Independent,4b54e606f964a5200bd227e3,168,Sat May 12 03:26:26 +0000 2012,-420,33.47457,-112.064849,Gastropub,nGaEPWylUEAiOn5HmY-VYQ,4,12/5/2012 3:26
621,621,Independent,4abdee78f964a520838b20e3,168,Sat May 12 21:56:25 +0000 2012,-420,33.488272,-112.081581,Grocery Store,XngwPRynytzSPJoVlawnjQ,2.5,12/5/2012 21:56
