Item_id,POI_Type,L2_Category_name,stars,clusters
0,0,0,4.0,0
1,0,1,4.0,0
2,0,2,5.0,0
3,0,3,3.0,0
4,0,0,3.5,1
5,0,4,3.5,1
6,0,5,2.5,1
7,0,6,4.0,2
8,0,7,3.5,1
9,0,4,4.0,1
10,0,8,2.0,1
11,0,9,2.5,1
12,1,10,4.5,1
13,0,11,4.0,1
14,0,12,3.5,3
15,0,0,3.5,1
16,0,13,4.5,1
17,0,0,5.0,2
18,1,5,4.0,1
19,0,10,4.0,1
12,1,2,3.5,1
20,0,1,3.5,1
21,0,5,3.5,1
22,0,4,3.0,1
23,1,10,3.5,1
24,0,14,2.5,2
25,0,12,2.0,2
26,0,4,3.5,2
27,0,0,2.0,2
28,0,5,4.0,2
29,0,15,2.5,4
30,0,16,3.5,1
18,1,17,2.5,1
31,1,15,2.0,1
32,0,18,3.0,0
33,0,19,2.5,0
34,1,20,2.5,0
35,0,19,2.5,2
36,0,21,3.0,0
37,0,22,4.0,0
38,0,23,1.5,0
18,1,23,1.5,1
18,1,15,3.0,1
39,0,24,3.0,1
40,0,25,3.5,1
41,0,8,1.5,0
42,0,7,2.5,4
43,0,26,4.0,5
44,0,5,4.0,0
45,0,27,3.5,0
46,0,17,3.5,0
34,1,28,1.0,0
31,1,29,2.5,1
47,0,30,2.0,2
31,1,20,3.0,1
34,1,28,3.5,0
48,1,31,5.0,3
48,1,28,2.0,3
49,1,20,2.5,5
50,1,32,3.5,6
51,0,23,3.5,0
52,0,15,2.0,2
53,1,22,4.0,7
54,0,33,4.0,2
55,0,2,2.0,0
56,0,32,3.0,0
57,0,34,3.5,1
58,1,14,3.0,5
59,0,0,4.0,0
60,0,5,2.0,7
61,0,28,3.0,7
49,1,35,3.0,5
49,1,36,4.0,5
49,1,37,3.5,5
62,0,15,3.0,1
63,1,22,3.5,0
64,1,15,2.0,0
53,1,37,4.5,7
65,0,13,3.5,1
66,0,14,2.0,0
67,0,16,2.5,1
68,0,38,3.0,8
69,0,14,3.0,8
70,0,39,3.5,6
71,0,7,3.0,6
72,0,28,2.5,5
73,0,40,4.5,5
74,1,41,2.5,5
12,1,32,3.0,1
31,1,39,2.5,1
75,0,42,3.5,5
76,0,43,3.5,5
77,0,44,3.5,1
31,1,29,3.0,1
78,1,28,2.5,5
78,1,20,4.0,5
78,1,36,3.0,5
79,0,45,3.5,7
80,0,2,3.0,7
81,0,7,3.0,1
82,0,5,4.5,2
83,0,2,3.5,1
84,0,46,3.5,7
85,0,47,3.5,8
86,0,14,3.5,2
87,0,23,2.5,7
88,0,28,2.0,7
89,0,1,3.5,8
90,1,28,2.5,8
91,0,48,3.0,8
92,1,22,3.5,9
92,1,48,4.0,9
93,1,5,3.0,9
93,1,49,4.0,9
94,0,50,2.0,1
95,0,2,3.5,8
96,0,51,4.5,9
97,0,5,3.5,0
98,0,5,3.0,1
99,0,26,4.0,8
49,1,10,3.0,5
100,1,2,3.0,8
48,1,52,4.0,3
93,1,53,2.5,9
101,0,48,4.5,8
102,0,54,4.5,8
103,0,55,3.5,7
93,1,45,3.0,9
92,1,56,3.0,9
104,0,57,3.5,1
105,0,5,3.0,2
100,1,17,3.5,8
58,1,43,3.0,5
58,1,58,3.0,5
106,1,5,3.0,6
107,0,59,3.5,9
108,0,37,4.0,0
109,0,23,2.5,0
110,0,59,4.5,3
111,0,48,3.5,3
112,0,5,3.0,0
113,0,22,3.0,0
114,1,52,2.5,0
115,0,17,4.0,2
58,1,28,2.5,5
116,0,22,3.5,2
117,0,22,3.5,3
118,0,28,3.0,1
50,1,23,2.0,6
119,1,28,3.0,6
120,0,15,3.0,9
121,0,23,2.0,5
122,0,10,3.0,8
34,1,60,2.0,0
58,1,10,2.5,5
123,0,17,4.5,2
124,0,61,3.0,5
92,1,15,3.0,9
106,1,43,2.0,6
125,0,27,2.5,0
126,0,15,1.5,0
127,0,15,2.0,2
58,1,15,2.0,5
128,0,62,3.5,5
129,0,53,4.0,0
130,1,22,2.5,3
130,1,5,2.5,3
131,1,63,3.5,3
131,1,23,1.5,3
132,0,22,3.0,3
130,1,64,4.0,3
133,0,65,4.0,2
134,0,2,3.0,2
135,0,66,2.0,4
49,1,10,3.5,5
136,0,67,2.5,2
137,0,68,2.0,3
138,0,65,4.0,2
93,1,27,3.5,9
139,0,4,4.5,1
140,0,5,4.0,2
141,0,43,4.0,1
58,1,22,3.5,5
142,0,4,3.5,5
143,0,69,4.5,1
144,0,68,1.5,3
145,0,43,3.5,1
146,0,70,3.5,1
147,0,5,3.5,4
148,0,71,5.0,5
149,0,72,3.5,5
150,0,28,2.0,5
151,0,5,2.0,1
152,0,5,3.5,5
153,0,1,3.0,1
154,0,46,4.5,1
155,0,73,3.5,5
156,0,74,4.0,5
157,0,10,3.0,0
78,1,22,4.0,5
158,0,5,3.5,5
159,0,5,3.0,5
160,0,63,3.5,1
161,0,75,5.0,2
162,0,5,3.0,2
163,0,3,4.5,2
164,0,5,4.0,2
165,0,7,3.0,1
166,0,7,3.0,1
18,1,76,3.5,1
18,1,43,3.0,1
167,0,3,4.5,1
168,0,14,3.5,1
169,0,60,3.5,1
170,0,4,4.0,1
171,0,0,3.5,9
172,0,12,4.0,1
173,0,77,3.5,1
174,0,51,4.5,2
175,0,14,4.5,2
176,0,0,3.5,1
31,1,43,4.0,1
177,0,4,3.5,2
178,0,2,3.0,2
179,0,78,3.5,9
180,0,79,5.0,9
181,0,27,4.0,8
182,0,80,4.5,2
183,0,2,2.5,1
184,0,77,4.0,2
185,0,81,4.0,2
186,0,4,3.5,1
187,0,0,3.5,1
188,0,43,3.0,2
189,0,5,3.5,2
190,0,82,3.5,2
191,0,83,4.0,1
192,0,84,5.0,9
193,0,4,3.0,2
194,0,27,4.0,5
195,0,58,1.5,5
196,0,27,4.0,6
93,1,85,4.0,9
197,0,80,4.0,2
198,0,60,4.0,2
199,0,86,2.5,1
200,0,80,4.5,1
78,1,63,2.0,5
53,1,72,4.5,7
201,0,22,3.0,7
202,0,5,4.0,2
203,0,28,2.0,7
204,0,21,4.0,4
58,1,5,3.5,5
205,0,63,4.0,1
206,0,43,3.5,2
207,0,12,4.0,7
208,0,82,3.5,7
209,0,23,4.0,5
18,1,87,2.5,1
210,0,12,3.5,5
211,1,88,3.0,2
211,1,28,2.0,2
106,1,22,3.0,6
212,0,89,4.0,5
106,1,2,3.0,6
213,0,53,3.0,5
50,1,17,2.0,6
214,0,5,4.5,6
215,0,43,4.5,5
216,0,56,3.5,6
217,0,12,3.5,5
106,1,10,3.0,6
218,0,90,4.5,9
219,0,91,4.0,6
220,0,5,3.0,1
221,0,21,3.0,2
222,0,53,3.0,1
223,0,92,4.0,1
224,0,4,3.0,1
225,0,12,4.0,2
226,0,22,4.0,2
227,0,69,3.5,2
228,0,93,5.0,2
49,1,67,4.5,5
