Location_id,Item_id,POI_Type,L2_Category_name,POI
12,12,1,10,Combined
20,12,1,2,Combined
91,12,1,32,Combined
472,12,1,0,Combined
673,12,1,12,Combined
18,18,1,5,Combined
33,18,1,17,Combined
42,18,1,23,Combined
43,18,1,15,Combined
57,18,1,15,Combined
212,18,1,76,Combined
213,18,1,43,Combined
262,18,1,87,Combined
392,18,1,66,Combined
395,18,1,76,Combined
400,18,1,76,Combined
501,18,1,87,Combined
636,18,1,37,Combined
24,23,1,10,Combined
25,23,1,10,Combined
304,23,1,2,Combined
413,23,1,3,Combined
485,23,1,1,Combined
568,23,1,1,Combined
34,31,1,15,Combined
53,31,1,29,Combined
55,31,1,20,Combined
92,31,1,39,Combined
96,31,1,29,Combined
224,31,1,43,Combined
369,31,1,109,Combined
618,31,1,73,Combined
37,34,1,20,Combined
52,34,1,28,Combined
56,34,1,28,Combined
156,34,1,60,Combined
703,34,1,52,Combined
58,48,1,31,Combined
59,48,1,28,Combined
125,48,1,52,Combined
60,49,1,20,Combined
73,49,1,35,Combined
74,49,1,20,Combined
75,49,1,36,Combined
76,49,1,37,Combined
123,49,1,10,Combined
177,49,1,10,Combined
287,49,1,67,Combined
288,49,1,36,Combined
289,49,1,67,Combined
298,49,1,36,Combined
496,49,1,123,Combined
61,50,1,32,Combined
151,50,1,23,Combined
270,50,1,17,Combined
522,50,1,48,Combined
64,53,1,22,Combined
80,53,1,37,Combined
251,53,1,72,Combined
611,53,1,5,Combined
687,53,1,53,Combined
69,58,1,14,Combined
135,58,1,43,Combined
136,58,1,58,Combined
147,58,1,28,Combined
157,58,1,10,Combined
165,58,1,15,Combined
185,58,1,22,Combined
256,58,1,5,Combined
361,58,1,39,Combined
538,58,1,20,Combined
700,58,1,52,Combined
717,58,1,5,Combined
78,63,1,22,Combined
79,64,1,15,Combined
90,74,1,41,Combined
458,74,1,10,Combined
646,74,1,5,Combined
97,78,1,28,Combined
98,78,1,20,Combined
99,78,1,36,Combined
202,78,1,22,Combined
250,78,1,63,Combined
478,78,1,87,Combined
479,78,1,58,Combined
529,78,1,41,Combined
743,78,1,43,Combined
111,90,1,28,Combined
435,90,1,15,Combined
451,90,1,52,Combined
550,90,1,66,Combined
619,90,1,43,Combined
738,90,1,28,Combined
739,90,1,28,Combined
113,92,1,22,Combined
114,92,1,48,Combined
131,92,1,56,Combined
160,92,1,15,Combined
443,92,1,61,Combined
555,92,1,20,Combined
556,92,1,5,Combined
557,92,1,23,Combined
115,93,1,5,Combined
116,93,1,49,Combined
126,93,1,53,Combined
130,93,1,45,Combined
181,93,1,27,Combined
245,93,1,85,Combined
358,93,1,22,Combined
389,93,1,72,Combined
416,93,1,27,Combined
532,93,1,39,Combined
533,93,1,107,Combined
534,93,1,107,Combined
537,93,1,5,Combined
540,93,1,22,Combined
564,93,1,10,Combined
579,93,1,14,Combined
580,93,1,95,Combined
583,93,1,5,Combined
696,93,1,27,Combined
697,93,1,117,Combined
712,93,1,63,Combined
714,93,1,10,Combined
737,93,1,15,Combined
124,100,1,2,Combined
134,100,1,17,Combined
325,100,1,82,Combined
450,100,1,27,Combined
627,100,1,2,Combined
137,106,1,5,Combined
161,106,1,43,Combined
266,106,1,22,Combined
268,106,1,2,Combined
275,106,1,10,Combined
360,106,1,108,Combined
432,106,1,61,Combined
523,106,1,71,Combined
685,106,1,1,Combined
145,114,1,52,Combined
401,114,1,1,Combined
616,114,1,28,Combined
152,119,1,28,Combined
168,130,1,22,Combined
169,130,1,5,Combined
173,130,1,64,Combined
170,131,1,63,Combined
171,131,1,23,Combined
323,131,1,5,Combined
617,131,1,61,Combined
264,211,1,88,Combined
265,211,1,28,Combined
335,211,1,48,Combined
336,211,1,104,Combined
337,211,1,22,Combined
339,211,1,63,Combined
340,211,1,105,Combined
575,211,1,49,Combined
303,241,1,23,Combined
318,241,1,28,Combined
321,241,1,28,Combined
322,241,1,10,Combined
406,241,1,36,Combined
441,241,1,15,Combined
442,241,1,29,Combined
444,241,1,41,Combined
445,241,1,67,Combined
530,241,1,28,Combined
531,241,1,48,Combined
553,241,1,131,Combined
581,241,1,15,Combined
740,241,1,36,Combined
324,257,1,101,Combined
589,257,1,14,Combined
715,257,1,45,Combined
353,280,1,14,Combined
362,280,1,53,Combined
498,280,1,18,Combined
603,280,1,29,Combined
356,283,1,22,Combined
357,283,1,21,Combined
599,283,1,83,Combined
601,283,1,43,Combined
604,283,1,15,Combined
621,283,1,66,Combined
679,283,1,58,Combined
680,283,1,37,Combined
500,397,1,22,Combined
578,455,1,22,Combined
661,520,1,5,Combined
